"","datecollected","siteid","sampleid","basisofrecord","minimumdepthinmeters","maximumdepthinmeters","taxaname","taxanameid","samplingeffort","parameter","parameter_value","parameter_standardunit"
"1",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Bothus podas",127129,NA,"Count (Dmnless)",4,"Dmnless"
"2",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",5,"Dmnless"
"3",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",1,"Dmnless"
"4",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",1,"Dmnless"
"5",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",35,"Dmnless"
"6",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",3,"Dmnless"
"7",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Pagrus pagrus",127063,NA,"Count (Dmnless)",7,"Dmnless"
"8",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Saurida undosquamis",126371,NA,"Count (Dmnless)",22,"Dmnless"
"9",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Trachinus araneus",127081,NA,"Count (Dmnless)",10,"Dmnless"
"10",1990-04-06,"32.051985_34.729586_6541","32.051985_34.729586_6541_19900406",NA,NA,9.5,"Upeneus pori",273671,NA,"Count (Dmnless)",5,"Dmnless"
"11",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Argyrosomus regius",127007,NA,"Count (Dmnless)",1,"Dmnless"
"12",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Citharus linguatula",127130,NA,"Count (Dmnless)",15,"Dmnless"
"13",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",102,"Dmnless"
"14",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",3,"Dmnless"
"15",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",1,"Dmnless"
"16",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Saurida undosquamis",126371,NA,"Count (Dmnless)",46,"Dmnless"
"17",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Serranus hepatus",127042,NA,"Count (Dmnless)",8,"Dmnless"
"18",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",44,"Dmnless"
"19",1991-01-07,"32.051985_34.729586_6541","32.051985_34.729586_6541_19910107",NA,NA,27.5,"Upeneus pori",273671,NA,"Count (Dmnless)",1,"Dmnless"
"20",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Boops boops",127047,NA,"Count (Dmnless)",5,"Dmnless"
"21",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",210,"Dmnless"
"22",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Diplodus annularis",127049,NA,"Count (Dmnless)",1,"Dmnless"
"23",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Diplodus vulgaris",127054,NA,"Count (Dmnless)",11,"Dmnless"
"24",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",7,"Dmnless"
"25",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Mullus surmuletus",126986,NA,"Count (Dmnless)",2,"Dmnless"
"26",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",67,"Dmnless"
"27",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Solea",126132,NA,"Count (Dmnless)",1,"Dmnless"
"28",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Spicara smaris",126830,NA,"Count (Dmnless)",25,"Dmnless"
"29",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Synodus saurus",126372,NA,"Count (Dmnless)",8,"Dmnless"
"30",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Trachinus draco",127082,NA,"Count (Dmnless)",8,"Dmnless"
"31",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Upeneus pori",273671,NA,"Count (Dmnless)",12,"Dmnless"
"32",1993-02-23,"32.051985_34.729586_6541","32.051985_34.729586_6541_19930223",NA,NA,15,"Uranoscopus scaber",127093,NA,"Count (Dmnless)",1,"Dmnless"
"33",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Boops boops",127047,NA,"Count (Dmnless)",3,"Dmnless"
"34",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",143,"Dmnless"
"35",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",7,"Dmnless"
"36",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",23,"Dmnless"
"37",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",81,"Dmnless"
"38",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",27,"Dmnless"
"39",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Saurida undosquamis",126371,NA,"Count (Dmnless)",30,"Dmnless"
"40",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Solea",126132,NA,"Count (Dmnless)",1,"Dmnless"
"41",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Spicara smaris",126830,NA,"Count (Dmnless)",11,"Dmnless"
"42",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Synodus saurus",126372,NA,"Count (Dmnless)",17,"Dmnless"
"43",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Torpedo torpedo",271691,NA,"Count (Dmnless)",1,"Dmnless"
"44",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Upeneus pori",273671,NA,"Count (Dmnless)",14,"Dmnless"
"45",1994-02-28,"32.051985_34.729586_6541","32.051985_34.729586_6541_19940228",NA,NA,12.5,"Uranoscopus scaber",127093,NA,"Count (Dmnless)",1,"Dmnless"
"46",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Balistes capriscus",154721,NA,"Count (Dmnless)",1,"Dmnless"
"47",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",128,"Dmnless"
"48",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Citharus linguatula",127130,NA,"Count (Dmnless)",11,"Dmnless"
"49",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Dentex",126075,NA,"Count (Dmnless)",7,"Dmnless"
"50",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",28,"Dmnless"
"51",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",1,"Dmnless"
"52",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",4,"Dmnless"
"53",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",4,"Dmnless"
"54",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Sargocentron rubrum",126400,NA,"Count (Dmnless)",1,"Dmnless"
"55",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Saurida undosquamis",126371,NA,"Count (Dmnless)",1,"Dmnless"
"56",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Serranus hepatus",127042,NA,"Count (Dmnless)",1,"Dmnless"
"57",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Spicara smaris",126830,NA,"Count (Dmnless)",140,"Dmnless"
"58",2000-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20000326",NA,NA,15,"Upeneus pori",273671,NA,"Count (Dmnless)",4,"Dmnless"
"59",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Boops boops",127047,NA,"Count (Dmnless)",50,"Dmnless"
"60",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Bothus podas",127129,NA,"Count (Dmnless)",7,"Dmnless"
"61",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",9,"Dmnless"
"62",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",3,"Dmnless"
"63",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Etrumeus sadina",584793,NA,"Count (Dmnless)",1,"Dmnless"
"64",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",2,"Dmnless"
"65",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",13,"Dmnless"
"66",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",1,"Dmnless"
"67",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Nemipterus randalli",218518,NA,"Count (Dmnless)",28,"Dmnless"
"68",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",7,"Dmnless"
