"","X","datecollected","siteid","sampleid","basisofrecord","minimumdepthinmeters","maximumdepthinmeters","taxaname","taxanameid","samplingeffort","parameter","parameter_value","parameter_standardunit","month","year"
"1",110,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Alectis alexandrina",401555,NA,"Count (Dmnless)",1,"Dmnless",9,1990
"2",111,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Alepes djedaba",126800,NA,"Count (Dmnless)",34,"Dmnless",9,1990
"3",112,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",123,"Dmnless",9,1990
"4",113,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",2,"Dmnless",9,1990
"5",114,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Pomadasys incisus",126947,NA,"Count (Dmnless)",1,"Dmnless",9,1990
"6",115,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Sardinella aurita",126422,NA,"Count (Dmnless)",1,"Dmnless",9,1990
"7",116,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Saurida undosquamis",126371,NA,"Count (Dmnless)",5,"Dmnless",9,1990
"8",117,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Scomber japonicus",127022,NA,"Count (Dmnless)",2,"Dmnless",9,1990
"9",118,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",17,"Dmnless",9,1990
"10",119,"1990-09-04","32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",57,"Dmnless",9,1990
"11",120,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Boops boops",127047,NA,"Count (Dmnless)",3,"Dmnless",7,1991
"12",121,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Bothus podas",127129,NA,"Count (Dmnless)",2,"Dmnless",7,1991
"13",122,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Citharus linguatula",127130,NA,"Count (Dmnless)",10,"Dmnless",7,1991
"14",123,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",53,"Dmnless",7,1991
"15",124,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Gobius niger",126892,NA,"Count (Dmnless)",1,"Dmnless",7,1991
